index,time,day_of_week,hour,is_weekend,is_home_time,latitude,longitude,work_hours
10985,2016-12-11 18:07:59,6,18,False,True,34.4407,70.398,False
11066,2016-12-06 17:20:53,1,17,False,True,34.5011,70.3906,False
11085,2016-12-02 09:56:39,4,9,True,True,34.4407,70.398,False
11105,2016-12-22 14:23:27,3,14,False,False,34.537,69.2103,True
11174,2016-12-22 20:15:57,3,20,False,True,34.5336,69.0856,False
11236,2016-12-17 17:42:40,5,17,False,True,34.4407,70.398,False
11377,2016-12-22 10:15:43,3,10,False,False,34.4245,70.4245,True
11448,2016-12-18 16:23:46,6,16,False,True,34.4407,70.398,True
11677,2016-12-23 09:47:13,4,9,True,True,34.5325,69.1508,False
11702,2016-12-01 12:53:45,3,12,False,False,34.4251,70.4497,True
11797,2016-12-16 17:09:48,4,17,True,True,34.5011,70.3906,False
11889,2016-12-01 13:35:18,3,13,False,False,34.4301,70.4428,True
11893,2016-12-24 17:12:02,5,17,False,True,34.4265,70.4613,False
12045,2016-12-01 08:37:29,3,8,False,False,34.4407,70.398,False
12322,2016-12-17 18:35:32,5,18,False,True,34.4407,70.398,False
12505,2016-12-31 19:01:11,5,19,False,True,34.4407,70.398,False
12513,2016-12-24 15:34:12,5,15,False,False,34.5031,70.218,True
12922,2016-12-26 17:36:53,0,17,False,True,34.4245,70.4245,False
12982,2016-12-28 17:23:11,2,17,False,True,34.4407,70.398,False
13188,2016-12-23 11:36:30,4,11,True,True,34.531,69.1585,False
13195,2016-12-22 13:51:43,3,13,False,False,34.5679,69.3931,True
13308,2016-12-14 20:16:38,2,20,False,True,34.5011,70.3906,False
13349,2016-12-16 10:25:31,4,10,True,True,34.4407,70.398,False
13363,2016-12-16 07:43:22,4,7,True,True,34.4407,70.398,False
13972,2016-12-19 11:21:39,0,11,False,False,34.4407,70.398,True
14146,2016-12-22 18:25:36,3,18,False,True,34.5336,69.0856,False
14202,2016-12-15 18:28:14,3,18,False,True,34.5011,70.3906,False
14870,2016-12-27 07:32:07,1,7,False,True,34.5011,70.3906,False
15443,2016-12-16 17:23:55,4,17,True,True,34.4407,70.398,False
15618,2016-12-19 11:36:03,0,11,False,False,34.4407,70.398,True
15625,2016-12-25 09:13:38,6,9,False,False,34.5011,70.3906,True
15912,2016-12-20 07:39:43,1,7,False,True,34.4407,70.398,False
16001,2016-12-06 13:44:24,1,13,False,False,34.4202,70.4383,True
16092,2016-12-30 14:42:58,4,14,True,True,34.4297,70.3586,False
16888,2016-12-15 07:26:12,3,7,False,True,34.4407,70.398,False
17197,2016-12-20 07:57:57,1,7,False,True,34.4407,70.398,False
17210,2016-12-20 08:26:36,1,8,False,False,34.5011,70.3906,False
17284,2016-12-16 17:28:08,4,17,True,True,34.4407,70.398,False
17363,2016-12-01 16:57:56,3,16,False,True,34.5011,70.3906,True
17371,2016-12-30 07:14:09,4,7,True,True,34.4321,70.4682,False
17380,2016-12-01 11:03:48,3,11,False,False,34.4202,70.4383,True
17532,2016-12-29 10:43:54,3,10,False,False,34.4202,70.4383,True
17709,2016-12-31 17:24:28,5,17,False,True,34.4407,70.398,False
17749,2016-12-31 17:26:06,5,17,False,True,34.4407,70.398,False
17826,2016-12-01 11:27:49,3,11,False,False,34.4202,70.4383,True
17949,2016-12-24 17:47:41,5,17,False,True,34.4407,70.398,False
18065,2016-12-24 16:39:51,5,16,False,True,34.4326,70.4584,True
18102,2016-12-18 10:47:24,6,10,False,False,34.4251,70.4497,True
18503,2016-12-14 19:43:48,2,19,False,True,34.4407,70.398,False
18749,2016-12-23 11:33:24,4,11,True,True,34.531,69.1585,False
18869,2016-12-26 20:03:57,0,20,False,True,34.4407,70.398,False
19080,2016-12-16 19:41:19,4,19,True,True,34.4407,70.398,False
19239,2016-12-31 18:24:03,5,18,False,True,34.5011,70.3906,False
19353,2016-12-23 07:42:25,4,7,True,True,34.5336,69.0856,False
19465,2016-12-16 10:16:23,4,10,True,True,34.4407,70.398,False
19602,2016-12-26 10:51:02,0,10,False,False,34.4202,70.4383,True
19693,2016-12-27 11:59:22,1,11,False,False,34.4265,70.4613,True
19798,2016-12-31 18:23:24,5,18,False,True,34.4407,70.398,False
20139,2016-12-26 20:01:57,0,20,False,True,34.4407,70.398,False
20143,2016-12-26 20:11:16,0,20,False,True,34.4407,70.398,False
20301,2016-12-20 06:43:37,1,6,False,True,34.5011,70.3906,False
20340,2016-12-17 17:40:22,5,17,False,True,34.4407,70.398,False
20361,2016-12-30 06:47:16,4,6,True,True,34.4321,70.4682,False
20379,2016-12-22 18:30:45,3,18,False,True,34.5336,69.0856,False
20460,2016-12-09 07:54:15,4,7,True,True,34.5011,70.3906,False
20605,2016-12-21 08:08:00,2,8,False,False,34.4407,70.398,False
20863,2016-12-18 18:41:53,6,18,False,True,34.4407,70.398,False
20943,2016-12-06 12:33:50,1,12,False,False,34.4202,70.4383,True
21050,2016-12-29 09:13:35,3,9,False,False,34.4245,70.4245,True
21051,2016-12-29 12:26:52,3,12,False,False,34.4265,70.4613,True
21230,2016-12-24 16:38:47,5,16,False,True,34.4326,70.4584,True
21273,2016-12-24 16:47:59,5,16,False,True,34.4265,70.4613,True
21616,2016-12-19 15:50:09,0,15,False,False,34.4407,70.398,True
22115,2016-12-13 19:18:33,1,19,False,True,34.4407,70.398,False
