,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
30,3218,4.12203011463e+14,20161201,12/1/2016 4:16:04 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 16:16:04,3,False,16,16.2666666667,True,34.5011,70.3906,Nangarhar
31,3522,4.1220301113e+14,20161206,12/6/2016 3:42:22 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-06 15:42:22,1,False,15,15.7,False,34.4203,70.4599,Nangarhar
32,3573,4.1220301113e+14,20161222,12/22/2016 10:28:48 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 10:28:48,3,False,10,10.4666666667,False,34.4245,70.4245,Nangarhar
33,3794,4.1220301113e+14,20161206,12/6/2016 1:23:40 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-06 13:23:40,1,False,13,13.3833333333,False,34.4202,70.4383,Nangarhar
34,3845,4.12203011463e+14,20161210,12/10/2016 6:05:46 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-10 18:05:46,5,False,18,18.0833333333,True,34.5011,70.3906,Nangarhar
35,4152,4.12203011463e+14,20161205,12/5/2016 8:29:42 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 08:29:42,0,False,8,8.48333333333,False,34.5011,70.3906,Nangarhar
36,4266,4.1220301113e+14,20161205,12/5/2016 3:32:07 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 15:32:07,0,False,15,15.5333333333,False,34.4251,70.4497,Nangarhar
37,4424,4.1220301113e+14,20161202,12/2/2016 5:47:59 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 17:47:59,4,True,17,17.7833333333,True,34.4407,70.398,Nangarhar
38,4554,4.1220301113e+14,20161202,12/2/2016 10:50:50 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 10:50:50,4,True,10,10.8333333333,True,34.4407,70.398,Nangarhar
39,4561,4.1220301113e+14,20161205,12/5/2016 6:07:51 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 18:07:51,0,False,18,18.1166666667,True,34.4407,70.398,Nangarhar
40,4680,4.1220301113e+14,20161205,12/5/2016 3:29:54 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 15:29:54,0,False,15,15.4833333333,False,34.4251,70.4497,Nangarhar
41,4721,4.12203011463e+14,20161204,12/4/2016 5:38:19 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-04 17:38:19,6,False,17,17.6333333333,True,34.5011,70.3906,Nangarhar
42,4759,4.1220301113e+14,20161205,12/5/2016 3:28:57 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 15:28:57,0,False,15,15.4666666667,False,34.4251,70.4497,Nangarhar
43,4905,4.12203011463e+14,20161202,12/2/2016 8:09:24 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 08:09:24,4,True,8,8.15,True,34.5011,70.3906,Nangarhar
44,4981,4.1220301113e+14,20161202,12/2/2016 7:49:47 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 07:49:47,4,True,7,7.81666666667,True,34.4407,70.398,Nangarhar
45,5109,4.12203011463e+14,20161201,12/1/2016 2:10:59 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 14:10:59,3,False,14,14.1666666667,False,34.5011,70.3906,Nangarhar
46,5144,4.12203011463e+14,20161201,12/1/2016 4:52:15 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 16:52:15,3,False,16,16.8666666667,True,34.5011,70.3906,Nangarhar
